,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
15121,0.57,43.53,48.41,50.88,14.68,16.53,15.83,1.52866,13.93,9.92,1797.38
15140,3.85,44.14,51.61,51.21,13.94,16.23,14.82,1.52202,14.27,10.66,1797.01
15141,3.86,43.9,51.6,50.7,14.7,16.93,15.74,1.52154,13.4,8.9,1797.3
15142,3.81,43.87,51.51,50.48,15.6,17.78,16.45,1.50957,13.16,7.68,1796.99
15143,3.99,43.79,50.87,50.13,14.58,16.68,15.43,1.53037,13.98,10.32,1797.03
15144,4.09,43.38,50.34,49.29,15.06,17.16,15.79,1.52443,13.57,9.33,1797.46
15145,4.07,43.08,49.69,48.37,14.34,16.25,15.23,1.52688,14.03,10.4,1797.24
15146,4.12,43.14,49.99,48.43,14.84,17.04,15.77,1.52861,14.2,10.66,1797.73
15147,4.2,42.85,48.98,47.91,14.54,16.61,15.44,1.5264,14.23,10.62,1796.66
15148,4.2,42.87,49.03,47.94,14.2,16.33,15.12,1.52724,14.64,11.52,1797.6
15149,4.3,41.14,47.39,47.01,13.51,15.57,14.46,1.5169,15.24,12.11,1796.5
15150,3.98,42.2,48.05,47.39,14.61,16.34,15.34,1.51423,13.72,9.38,1797.42
15151,3.88,41.79,47.83,47.3,15.13,17.19,16.2,1.50724,13.24,8.31,1796.45
15157,3.85,44.4,50.96,50.38,15.14,17.05,16.16,1.51842,13.21,8.5,1797.19
15158,3.73,43.98,50.23,49.96,14.86,17.03,15.92,1.52747,13.47,9.52,1796.69
15161,3.9,45.68,51.87,51.35,15.17,17.38,16.25,1.51919,13.39,8.98,1796.97
15162,3.77,45.54,52.22,51.08,15.75,18.28,17,1.52676,13.22,8.28,1796.97
15412,13.53,53.37,54.18,63.34,15.78,16.01,16.87,1.51427,13.13,7.56,1797.09
15544,5.39,50.53,52.41,58.07,15.78,16.83,17.19,1.52285,13.29,8.32,1795.98
15546,5.57,50.48,52.42,57.61,15.73,16.48,16.67,1.50228,13.32,7.73,1797.25
15547,5.7,50.07,51.41,56.89,14.28,15.28,15.52,1.53012,14.23,10.72,1796.53
15548,5.64,48.65,50.56,55.84,14.38,15.75,15.64,1.51983,13.97,10.22,1796.01
15549,5.9,48.05,50.16,54.92,13.59,14.93,15,1.53043,15.02,12.71,1796.81
15550,6,47.89,50.45,54.75,14.3,15.93,15.71,1.52707,14.36,10.79,1797.18
15551,6.17,48.28,51.23,55.28,15.23,16.7,16.44,1.51212,13.44,8.29,1796.64
15554,6.6,49.25,52.52,55.72,13.56,15.14,14.44,1.52046,14.86,12.03,1797.68
15555,6.59,47.67,50.89,53.7,13.35,14.89,14.08,1.52696,15.32,12.99,1797.53
15557,6.3,46.21,48.64,51.3,13.43,15.22,14.71,1.49755,14.76,11.55,1797.14
15558,6.11,46.35,49.67,51.47,13.32,15.35,14.54,1.53132,15.34,12.49,1797.11
15559,6.33,46.16,49.18,51.04,13.94,15.73,15.12,1.52521,14.65,11.43,1796.28
15560,6.56,46.22,49.51,51.3,13.16,14.9,14.35,1.52736,15.8,13.6,1797.44
15561,6.7,45.93,49.13,50.78,13.49,15.41,14.65,1.52642,14.76,12.02,1797.1
15562,6.89,46.07,49.82,51.15,14.03,16.2,15.4,1.52509,14.42,11.15,1796.91
15568,7.04,34.72,36.55,38.4,14.76,15.68,15.77,1.5292,14.11,10.22,1796.02
15569,7.24,36.45,38.26,40.55,14.63,15.77,15.5,1.51891,13.77,9.07,1796.89
15570,7.52,37.87,40.28,42.92,14.34,15.64,15.36,1.52699,14.2,10.1,1798.01
15571,7.48,37.93,40.22,42.96,13.31,14.72,14.33,1.52662,15.33,12.72,1797.04
15573,7.5,40.73,43.88,46.1,14.54,16.15,15.76,1.52031,13.71,9.55,1797.14
15574,7.54,41.08,44.87,46.76,14.02,15.93,15.24,1.52777,14.04,9.97,1797.24
15578,8.11,46.34,50.89,51.56,15.76,17.7,16.87,1.52926,13.27,7.92,1796.61
15984,0.69,43.19,44.33,55.94,15.56,16.13,17.81,1.52752,13.15,8.34,1796.98
15985,0.71,43.2,44.46,54.82,15.4,16,17.28,1.50294,13.03,6.97,1797.44
15986,0.82,42.08,43.37,53.41,14.9,15.71,17.25,1.49461,13.33,8.45,1796.5
15988,1,42.42,44.18,53.56,15.16,16.14,17.44,1.53161,13.78,9.31,1797.73
15989,1.15,41.79,44,52.74,14.3,15.55,16.35,1.52744,14.23,9.9,1797.89
15991,1.67,42.25,44.61,52.61,14.98,16.27,16.85,1.53247,13.8,9.23,1798.01
15992,1.63,41.31,44.18,51.14,15.29,16.56,17.02,1.50792,13.57,8.68,1796.41
15994,1.82,41.48,44.98,50.93,14.66,16.38,16.61,1.48832,13.57,8.95,1795.95
15995,1.89,41.94,46.03,51.49,15.12,16.96,17.09,1.52708,13.29,7.94,1796.99
15996,2.13,41.42,45.74,50.61,14.45,16.29,16.35,1.52312,14.15,9.58,1797.2
15997,2.41,41.44,45.95,50.59,14.33,16.12,16.19,1.53093,14.54,10.48,1797.26
15998,2.46,40.78,44.86,49.83,13.97,15.9,15.93,1.52832,14.18,10.2,1797.03
15999,2.46,40.59,44.85,49.13,14.02,15.83,15.63,1.52689,14.55,11.07,1797.41
16000,2.26,40.73,45.17,48.79,15.08,16.81,16.45,1.47717,13.18,8.17,1796.67
16001,2.51,41.62,46.59,49.95,15.66,17.57,17.08,1.52319,13.89,7.99,1797.08
16009,3.01,44.11,50.88,52.84,15.13,17.63,16.81,1.50684,13.68,8.44,1797.15
16015,2.56,45.07,52.51,53.35,14.78,17.28,16.52,1.5307,13.6,9.02,1797.36
16023,2.17,46.51,54.46,54.86,15.93,18.42,17.8,1.52702,13.11,7.63,1797.29
18379,9.89,51.87,55.85,59.57,14.03,15.41,15.35,1.52741,14.04,10.1,1797.67
18380,9.72,50.54,53.82,57.45,13.17,14.31,14.33,1.52573,15.05,12.05,1797
18387,9.05,57.01,60.09,62.92,15.58,16.92,16.49,1.52656,13.01,7.51,1797.75
18392,8.93,57.31,60.54,62.23,15.1,16.28,15.68,1.53055,13.52,8.94,1797.97
18393,8.53,56.03,58.2,60.19,14.74,16.08,15.25,1.52628,13.39,9.35,1797.11
18582,13.69,47.86,49.1,58.11,14.3,15.67,16.45,1.52974,13.37,8.41,1796.66
18591,14.66,50.83,54.53,60.59,14.52,16.25,16.39,1.53137,13.42,8.68,1797.21
18599,15.72,53.16,57.06,61.7,15.5,16.94,17.07,1.48243,13.02,6.34,1796.85
18600,15.5,52.48,56.47,60.53,14.74,16.58,16.44,1.52995,13.8,8.65,1796.2
18744,18.81,50.9,54.39,59.69,14.17,15.95,16.69,1.44628,13.52,7.39,1787.21
18745,18.58,50.79,54.11,59.88,14.21,15.91,16.51,1.51366,13.82,8.6,1796.48
19456,25.69,50.86,53.22,57.88,15.29,16.68,17.07,1.48989,13.05,5.91,1795.82
19457,25.56,52,54.14,58.88,14.98,16.6,16.77,1.51824,13.25,6.65,1795.38
