,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
65282,11.58,44.18,47.55,51.53,14.14,16.24,15.79,1.3836,13.19,1.89,1796.83
65285,11.85,45.9,47.56,52.04,14.84,15.96,16.17,1.39949,13.51,2.48,1796.8
65286,12.06,46.16,47.82,52.55,14.86,15.8,16.15,1.36792,13.07,1.8,1796.4
65287,12.2,45.95,47.67,52.28,14.11,15.67,15.5,1.4128,13.68,4.84,1795.96
65288,12.41,46.15,48.92,52.95,14.42,16.57,15.85,1.42797,14.22,5.04,1795.72
65292,13.05,46.72,48.09,51.74,14.54,15.32,15.28,1.40446,13.9,4.55,1796.3
65551,17.57,46.71,55.16,63.87,17.27,18.59,24.42,1.34965,13.18,2.64,1796.42
65554,19.22,49.93,53.66,64.35,15.76,15.78,18.94,1.38953,13.53,3.19,1796.39
65556,19.95,50.16,52.65,63.79,14.24,14.13,17.32,1.43392,14.48,6.42,1796.41
65557,20.4,50.34,52.01,63.24,14.53,14.26,16.9,1.41425,13.68,3.87,1795.77
65558,20.74,50.46,51.93,62.87,14.07,14.35,16.55,1.43173,14.8,4.73,1797.14
65559,20.91,50.59,52.09,62.89,13.99,14.52,16.7,1.40216,13.23,3.8,1796.2
65560,21.29,50.81,52.66,62.83,14.29,14.86,16.65,1.38827,13.22,2.77,1796.17
65561,21.64,50.85,52.5,62.26,13.5,14.5,16.11,1.4363,14.49,4.9,1795.88
65562,21.93,50.59,52.68,61.49,13.09,14.42,15.64,1.44045,14.91,6.23,1796.4
65563,22.26,50.32,52.65,60.97,13.15,14.89,15.69,1.42692,15.15,5.49,1795.9
65564,22.43,50.37,53.24,60.92,13.07,15.1,15.39,1.43684,14.81,6.81,1795.79
65567,22.93,50.39,52.88,59.04,12.94,14.05,14.54,1.44121,15,6.71,1796.28
65568,23.21,50.59,53.44,59.27,13.57,15.21,15.4,1.42361,14.33,4.63,1795.55
65569,23.36,50.99,54.14,59.94,13.96,15.6,15.73,1.41846,14.52,4.24,1796.09
65570,23.46,50.98,53.9,59.62,12.94,14.19,14.58,1.40784,14.58,6.26,1795.38
65571,23.7,51.13,54.68,59.87,13.82,15.75,15.72,1.41831,14.28,3.67,1795.28
65572,23.79,51.54,55.54,59.91,13.61,15.73,15.2,1.43349,15.05,4.78,1795.97
65573,23.79,51.99,55.67,59.82,13.49,15,14.77,1.39908,13.57,4.27,1795.68
65574,23.95,52.06,55.08,59.34,13.39,14.2,14.55,1.39946,13.6,4.06,1795.74
65575,24.16,52.69,55.55,59.54,13.29,14.99,14.71,1.42755,15.21,5.71,1796.06
65576,24.19,52.08,55.62,59.06,13.11,15.39,15.04,1.43523,13.9,5.07,1795.09
65577,24.23,52.03,56.36,59.11,12.97,15.8,14.72,1.43153,15.67,5.78,1796.26
65578,24.34,51.81,56.32,58.79,12.44,14.49,13.92,1.41204,14.41,6.14,1795.38
65579,24.43,51.76,56.27,58.79,13.26,14.9,14.89,1.38121,14.09,4.06,1791.01
65580,24.58,53,56.45,59.96,14.04,14.85,15.46,1.4303,14.02,4.1,1795.01
65581,24.71,53.1,56.35,59.97,13.58,14.7,14.96,1.41353,14.48,5.15,1794.47
65582,24.75,53.07,56.01,59.89,13.08,13.8,14.43,1.37141,13.6,3.95,1796
65583,24.68,52.97,54.95,58.6,12.69,13.81,13.98,1.44064,15.26,7.86,1794.95
65584,23.94,53.32,55.57,59.66,13.41,13.88,14.65,1.08471,13.46,12.97,1573.41
65585,24.63,53.03,54.03,58.45,12.58,13.03,13.62,1.4115,15.2,7.13,1794.44
65586,24.93,52.23,53.34,57.62,11.21,11.45,11.79,1.14825,14.85,9.36,1795.39
65587,24.95,52.94,53.39,57.59,13.27,13.26,13.95,1.38356,15.18,6.27,1794.87
65591,24.26,52.96,52.42,56.71,13.02,12.87,13.52,1.41747,14.97,6.62,1796.26
65592,24.44,52.62,51.17,56.14,12.05,12.1,12.51,1.23073,13.18,4.02,1794.54
65593,24.29,52.97,52.21,56.67,13.51,13.39,13.88,1.43431,14.66,6.53,1795.36
65595,24.29,50.85,51,54.87,9.88,11.31,10.82,1.17322,15.84,11.88,1795.54
65597,24.21,50.18,50.57,54.06,11.21,12.22,12.32,1.22739,15.4,9.51,1795.47
65598,24.11,50.52,50.81,54.35,12.15,12.36,12.74,1.25272,14.56,8.59,1796.61
65600,23.43,52.15,52.29,56.05,13.25,14.12,14.06,1.26452,13.54,4.72,1796.09
65601,23.41,52.8,53.13,56.32,12.82,14.18,13.68,1.33676,13.87,5.81,1796.3
65602,23.09,52.4,53.02,56.05,12.26,13.21,12.65,1.28036,13.87,7.27,1796.32
65603,22.85,53.1,53.95,56.73,14,15.09,14.64,1.35233,13.46,3.69,1795.35
65604,22.79,53.9,55.25,57.27,14.22,15.19,14.76,1.3681,13.36,3.25,1796.39
65606,22.42,56.39,56.07,58.12,14.32,14.86,14.75,1.36853,13.57,4.04,1796.45
65607,22.45,56.49,56.16,58.05,13.93,14.94,14.48,1.38097,13.86,3.98,1796.1
65850,21.7,50.51,50.67,57.37,14.24,14.58,16.14,1.41293,13.01,3.66,1796.3
65851,22.17,50.38,50.38,57.44,12.95,13.36,14.86,1.44132,15.05,6.69,1796.89
65852,22.57,50.49,50.53,57.39,13.49,14.1,15.2,1.42323,13.56,4.54,1795.91
65854,23.4,50.15,50.42,57.07,13.29,14.24,15.23,1.43797,13.73,5.76,1795.67
65855,23.51,50.62,50.9,57.48,13.34,13.91,15.05,1.43882,14.57,5.66,1795.13
65858,23.93,52.66,51.22,57.75,13.63,13.71,14.62,1.33805,13.06,1.89,1795.89
65859,24.02,52.76,51.86,58.01,14.19,14.37,15.42,1.4125,13.3,3.21,1794.87
65862,24.64,52.35,50.9,57.11,13.37,13.47,14.5,1.43496,14.04,4.82,1795.91
65863,25.03,52.65,51.41,57.21,13.07,13.89,14.06,1.37496,13.69,3.75,1794.44
65866,25.61,53.48,53.23,58.01,13.13,13.8,13.8,1.38834,13.71,4.16,1796.06
65869,26.46,53.8,53.11,57.57,12.74,13.69,13.42,1.29117,13.41,3.35,1792.32
65872,26.86,54.21,54.03,57.91,13.47,14.61,14.37,1.38627,13.22,2.82,1795.18
65876,27.45,55.77,54.47,58.22,13.52,14.29,14.36,1.37847,13.57,3.65,1795.9
65877,27.52,54.05,54.12,57.82,12.27,13.52,13.2,1.19611,14.36,5.77,1796.48
65878,27.61,53.87,54.68,57.77,12.48,14.08,13.63,1.16904,13.04,4.9,1794.97
65879,27.66,54.69,55.15,58.03,12.7,13.84,13.47,1.16805,13.55,4.09,1795.91
66032,17,56.86,58.87,60.19,14.09,16.79,15.49,1.44231,13.01,5.38,1795.75
67172,23.94,49.42,52.12,53.8,13.58,15.75,15.1,1.41267,13.14,4.65,1795.66
67893,28.89,51.67,48.38,54.01,14.82,13.86,15.41,1.38943,13.23,1.48,1796.47
68309,21.22,50.14,50.92,56.96,13.68,14.65,15.19,1.42439,13.19,5.82,1795.84
68313,21.15,50.62,50.9,56.66,13.5,13.89,14.69,1.41888,13,6.01,1796.69
68428,12.69,50.39,49.64,53.59,12.56,13.46,13.36,1.44136,13.39,10.26,1796.18
68431,13.37,50.36,50.49,53.94,12.8,13.75,13.51,1.44098,13.7,9.7,1796.45
68432,13.64,48.69,49.13,52.95,10.51,12.33,12.05,1.44102,15.86,13.6,1796.15
68433,13.6,47.78,48.45,52.02,11.05,12.99,12.49,1.44156,15.04,12.96,1795.61
68434,13.73,47.28,48.26,51.68,11.76,13.42,13.35,1.44031,15.08,10.72,1795.08
68435,13.85,47.14,48.8,51.96,11.45,13.57,13.2,1.4404,15.28,11.1,1796.5
68436,13.93,47,49.05,52.09,11.16,13.63,13.07,1.44007,14.92,11.75,1795.74
68437,13.87,46.74,48.78,51.25,10.48,12.95,12.48,1.44071,15.41,13.18,1795.99
68438,13.93,46,47.86,50.79,10.34,12.21,12.19,1.44047,14.98,13.95,1795.46
68439,13.88,46.66,48.7,51.79,12.87,14.57,14.56,1.43937,13.74,8.23,1795.23
68440,14.15,46.98,49.74,52.71,12.46,14.22,13.97,1.433,14.7,9.2,1796.11
68441,14.1,46.79,49.21,51.99,11.59,13.61,13.18,1.4405,13.79,11.1,1795.31
68442,14.05,46.98,50.28,52.87,12.69,14.84,14.12,1.44015,14.31,8.65,1796.9
68443,14.14,46.95,50.08,52.54,11.58,13.69,13.01,1.44038,14.59,11.71,1795.88
68444,13.13,46.84,49.45,51.44,11.92,12.8,13.02,1.19041,13.83,20.63,1568.68
68445,13.84,47,48.16,52.17,12.8,12.53,13.37,1.43903,14.48,9.96,1795.24
68449,14.26,45.65,46.72,50.03,11.23,12.18,12.55,1.43967,14.26,11.75,1795.76
68451,14.44,44.85,46.19,49.95,11.75,12.35,13.04,1.43669,14.76,11.04,1795.29
68452,14.58,45.89,46.51,50.4,12.07,12.71,13.46,1.43283,14.68,10.02,1794.92
68453,14.63,45.6,46.32,50.08,10.85,11.65,12.1,1.43999,15.98,13.65,1795.61
68454,14.77,44.37,46.04,49.99,10.97,12.22,12.75,1.43907,15.83,12.87,1794.7
68456,14.97,46.02,47.48,51.01,12.33,13.65,13.62,1.43956,14.56,9.85,1795.06
68457,15.07,45.94,46.96,50.5,11.2,12.1,12.29,1.43915,15.4,13.08,1794.85
68458,15.18,45.78,46.55,50.25,11.3,11.85,12.4,1.43916,15.71,13.21,1794.7
68459,15.1,45.93,46.43,50.3,11.69,11.98,12.62,1.4392,15.11,12.41,1795.37
68460,15.12,45.28,46.06,50,11.09,11.91,12.32,1.43877,14.71,12.67,1794.77
68461,15.16,45.65,46.66,50.15,11.76,13.35,13.3,1.43961,15.48,10.97,1795.64
68462,15.24,45.03,46.53,50.16,10.61,11.85,12.21,1.43918,15.52,14.16,1795.37
68463,15.27,44.57,46.11,50,11.27,12.34,12.61,1.43792,14.35,11.46,1794.67
68464,15.28,44.21,46.06,49.82,10.48,11.78,11.84,1.43943,15.3,14,1795.25
68465,15.2,44.19,46.18,49.96,11.57,12.75,12.95,1.43906,14.89,12.16,1794.69
68466,15.27,44.51,46.18,49.93,11.65,12.64,12.88,1.43938,15.21,11.82,1794.42
68468,15.25,46.49,46.99,50.98,12.34,12.45,13.08,1.44085,15.08,10.39,1796.05
68469,15.55,46.12,46.67,50.51,12.14,12.53,12.8,1.44113,14.03,10.24,1795.76
68470,15.28,46.45,46.76,50.59,11.93,12.38,12.68,1.42825,14.37,10.97,1794.93
68471,15.35,46,46.07,50.01,11.41,11.73,12.13,1.43548,15.35,12.84,1796.06
69098,20.5,49.67,46.41,49.91,14.68,12.75,13.56,1.44027,14.06,9.74,1796.78
70724,12.07,46.19,41.2,43.93,16.3,13.99,13.94,1.42982,13.08,4.19,1795.89
70725,12.44,47.75,42.98,45.94,15.34,13.27,13.58,1.4289,13.27,4.82,1796.47
70726,12.79,47.94,42.99,46,14.57,12.54,12.51,1.4298,14.27,7.51,1796.23
70727,13.1,49.01,43.24,46.28,15.37,13,12.88,1.43023,13.51,6.67,1796.05
70728,13.31,50.14,43.91,46.97,15.54,13.11,13.1,1.43012,13.49,5.63,1795.89
70729,13.67,50.89,45.08,47.61,15.19,13.52,13.45,1.42973,13.14,5.19,1796.12
70730,13.99,50.88,45.8,47.92,14.25,13.16,13.06,1.42958,13.86,6.17,1795.93
70736,15.39,51.67,47.41,50.87,14.4,13.68,14.07,1.40379,13.08,4.2,1796.13
70737,15.78,51.17,47.38,50.88,13.48,12.81,13.17,1.43091,14.44,7.36,1795.41
70739,16.6,50.17,46.94,50.08,12.33,12.17,12.31,1.43143,15.08,8.19,1796.23
70740,16.82,50.01,46.73,50.02,12.2,12.08,12.18,1.4307,15.2,8.25,1794.94
70741,17.1,50.11,47.01,50.3,13,12.79,13.04,1.4272,14.96,7.08,1794.65
70742,17.46,50.34,47.51,50.91,13.13,13.45,13.55,1.40216,13.96,4.62,1794.62
70743,17.64,50.64,48.01,51.65,12.88,13.54,13.42,1.42886,14.57,6.26,1795.45
70744,17.92,50.21,47.91,51.42,12.51,12.99,13.01,1.42959,15.16,7.51,1794.83
70770,15.71,49.78,47.73,52.43,14.08,14.11,14.72,1.34943,13.01,1.89,1794.94
70774,15.95,50.94,50.12,54.17,13.75,14.26,14.56,1.35232,13.03,2.64,1793.78
70775,16.06,50.99,50.79,55.37,13.83,14.56,14.75,1.41849,14.41,4.64,1794.29
70776,16.1,50.84,50.23,54.23,12.64,13.16,13.37,1.42931,15.61,7.14,1794.93
70777,16.14,50.81,50.5,54.32,13.11,13.85,13.82,1.35258,13.56,3.28,1792.63
70778,16.07,51.1,50.98,55.46,13.8,14.44,14.72,1.34058,13.26,2.5,1794.24
70792,15.32,51.71,52.71,55.91,14.03,14.88,14.76,1.34577,13.32,1.87,1794.39
70795,15.1,52.53,52.64,56.12,13.59,13.82,13.87,1.30068,13.12,2.41,1794.12
70797,15,52.88,53.07,56.31,13.79,14.65,14.59,1.4196,14.44,4.25,1794.83
70801,14.67,53,53.88,56.65,13.45,14.76,14.22,1.40123,14.01,4.39,1794.59
70898,11.44,19.55,17.93,22.49,12.73,13.28,15.37,1.42525,15.41,7.91,1797.53
70900,11.98,25.12,24.3,29.81,12.35,13.91,14.7,1.40121,14.2,5.89,1796.13
70902,12.48,30.37,30.28,35.95,13.69,14.64,15.66,1.41101,14.39,4.43,1796.94
70903,12.73,31.83,32.73,37.72,12.41,14.15,14.59,1.41889,15.45,7.38,1796.49
70904,12.91,33.53,33.99,39.45,12.49,13.6,14.26,1.35858,14.65,5.73,1796.82
70906,13.34,36.33,37.54,42.46,12.7,14.87,14.66,1.40699,15.14,6.24,1795.67
70907,13.39,37.15,39.68,43.88,12.66,14.2,14.35,1.42232,15.81,7.29,1796
70908,13.64,37.65,39.71,43.99,12.1,13.47,13.52,1.42719,15.17,7.81,1796.09
70909,13.66,39.13,40.85,45.38,12.85,14.45,14.34,1.41404,15.33,6.52,1795.44
71282,16.7,56.89,54.47,56.2,16.86,17.52,16.17,1.40686,13.04,0.06,1795.93
71486,28.18,52.15,50.24,56.26,14.27,14.64,15.14,1.14044,13.45,11.24,1605.99
71488,27.96,54.44,52.53,57.25,11.87,11.79,12.42,1.08684,14.31,20.93,1443.19
71489,27.62,54.86,52.3,57.32,12.47,12.29,13.02,1.20374,14.89,15.95,1571.4
73353,16.6,52.63,48.04,53.53,14.79,13.32,14.1,1.41707,13.87,4.94,1797.67
73354,17.05,52.58,47.85,53.06,13.52,12.44,13.17,1.43211,14.56,7.59,1796.59
73355,17.13,52.91,48.16,53.44,13.93,13.11,13.81,1.42819,14.03,5.51,1797
73356,17.34,53.15,49.7,54.1,14.39,14.22,14.64,1.42252,14.21,3.42,1797.22
73357,17.55,53.82,50.72,55.42,14.75,14.79,14.77,1.41755,14.28,2.94,1796.89
73358,17.58,53.71,50.39,54.7,13.43,12.85,13.22,1.43315,14.08,7.04,1797.3
73370,16.96,47.71,44.57,47.67,15.12,14.12,14.41,1.39062,13.48,1.43,1797
73373,17.3,50.8,47.41,51.76,14.72,14.08,14.43,1.36801,13.21,1,1797.11
73374,17.69,51.47,48.16,52.66,14.32,14.02,14.25,1.36058,13.35,2.38,1796.79
73375,17.7,51.9,48.73,53.17,14.32,14.23,14.29,1.39754,13.39,2.77,1797.52
73506,20.32,50.19,47.77,53.13,15.22,14.61,15.73,1.41681,13.14,3.35,1797.13
73507,20.3,50.88,48.17,53.91,14.79,14.27,15.33,1.36985,13.62,2.73,1796.69
73508,20.41,51.14,49.03,54.14,14.27,13.94,14.87,1.43142,14.36,5.17,1797.04
73509,20.49,51.2,49.92,54.54,13.42,14.04,14.27,1.42521,14.58,6.15,1796.85
73510,20.31,51.69,50.04,55.2,13.92,13.67,14.75,1.4306,14.37,5.5,1796.79
73511,20.3,52.07,49.96,55.42,13.07,12.75,13.78,1.43127,14.92,7.42,1796.44
73512,20.32,51.62,49.72,54.7,12.63,12.59,13.19,1.43034,15.28,6.95,1796.79
73513,20.52,52.78,50.51,55.95,14.14,14.74,15.03,1.38247,13.58,1.84,1796.87
73686,21.36,47.7,44.48,48.17,14.26,14.03,14.08,1.36155,13.29,0.17,1796.67
73814,26.24,52.88,50,54.84,12.85,12.77,13.35,1.37639,14.07,4.36,1795.84
73949,26.9,47.44,45.55,49.64,13.92,13.36,15.15,1.39651,15.35,6.16,1794.83
74521,27.93,42.38,37.49,41.13,10.13,8.52,9.05,0.64168,14.46,21.86,1236.87
74522,26.65,46.38,40.25,44.14,15.27,12.01,12.74,1.43049,15.65,7.69,1794.7
74523,25.12,49.48,42.87,46.75,15.47,12.43,12.89,1.43211,14.58,6.92,1795.37
74524,24.31,51.57,44.3,47.77,16.08,12.86,13.21,1.41872,13.94,5.03,1795.13
74526,23.99,52.95,46.28,49.67,14.97,12.49,12.63,1.40107,15.17,5.77,1797.01
74660,23.97,53.11,49.38,53.47,16.13,14.4,15.72,1.41382,13.36,3.21,1796.14
75943,31.53,44.78,39.69,43.84,15,12.22,13.08,1.4037,14.8,7,1744.96
76406,21.7,51.63,46.59,52.88,15.92,13.39,15.52,1.51059,14.55,3.81,1796.55
76407,21.69,54.09,47.72,54.5,15.72,13.66,15.25,1.50316,14.63,3.12,1796.26
76408,21.48,57.02,49.76,56.62,16.12,14.21,15.75,1.50574,13.4,2.44,1796.13
76409,21.39,58,50.76,57.4,15.28,13.63,14.86,1.51025,14.33,4.47,1796.98
76699,23.77,58.24,54.06,59.23,14.39,13.16,14.49,1.50385,15.46,6.37,1795.93
78382,36.21,61.08,55.1,59.72,13.56,11.45,12.85,1.1362,13.05,17.8,1437.28
81224,23.98,59.21,55.44,61.58,15.14,14.32,16.19,1.46377,13.07,2.08,1795.3
81225,24.27,60.08,55.92,63.1,15.35,14.23,16.2,1.50838,14.58,4.29,1796.19
81226,24.53,60.82,56.56,63.72,15.2,14.16,15.93,1.46556,13.71,1.95,1796.07
81228,24.7,61.8,57.22,64.15,14.92,14.07,15.69,1.44482,13.38,0.33,1796.67
81229,24.74,62.35,57.4,64.45,15.05,13.96,15.67,1.43723,13.53,1.01,1796.06
81230,24.88,62.96,57.66,64.9,15.12,14.01,15.97,1.46511,13.8,1.76,1795.74
81231,25.06,63.14,57.82,65.15,15.05,13.88,15.8,1.47283,14.04,1.43,1796.23
81232,25.1,63.04,57.89,64.96,14.19,13.38,14.83,1.40996,13.11,0.92,1796.07
81345,23.44,59.14,55.75,63.91,15.81,14.73,17.09,1.44991,13.27,1.97,1795.71
81346,23.08,59.13,56.11,64.02,14.84,14.05,15.57,1.38242,13.07,0.04,1796.75
87920,11.98,46.33,44.37,48.79,16.37,15.2,17.04,1.49491,13.48,3.55,1796.86
87921,11.91,47.48,45.96,50.08,15.07,13.82,14.99,1.44633,13.9,4.8,1796.58
87922,11.59,48.89,46.18,51.51,15.94,14.09,15.78,1.51009,14.37,5.66,1797.38
87923,11.41,50.56,46.87,52.95,16.13,14.31,15.6,1.50973,14.53,5.08,1796.24
87924,11.35,52.34,47.69,53.82,16.85,14.93,16.21,1.51004,14.19,3.44,1796.85
87925,11.32,52.95,47.9,53.96,14.97,13.57,14.44,1.51027,15.23,6.45,1797.54
87926,11.14,52.8,47.39,53.73,15.08,13.09,14.34,1.51048,15.26,7.49,1796.83
87927,11.06,53.55,47.98,54.25,15.61,13.77,15.03,1.51028,14.49,6.08,1795.95
87928,10.93,54.91,48.71,55.3,16.5,14.64,15.75,1.50921,13.74,4.57,1797.27
87929,10.9,56.45,49.27,56,15.53,13.59,15.04,1.50975,14.22,5.89,1795.3
87931,11.23,57.02,50.36,56.49,15.61,14.49,15.22,1.49581,14.26,3.7,1796.17
87932,11.05,57.79,51.3,57.18,16.6,15.33,16.1,1.49282,13.1,1.94,1795.96
87951,11.48,50.45,47.56,53.41,15.1,14.37,16.04,1.47214,13.04,2.42,1796.23
87956,12.05,50.98,48.4,54.77,14.97,14.5,15.99,1.49649,13.13,3.21,1796.36
87957,12.25,51.63,48.79,56.01,14.9,14.65,16.14,1.51046,13.91,3.81,1796.15
87958,12.62,51.59,50.04,56.01,14.47,14.5,15.32,1.43302,13.19,1.27,1796.89
87959,12.87,51.74,50.55,56.15,14.66,14.94,15.53,1.41481,13.2,0.21,1796.69
87967,13.55,50.61,48.03,54.34,14.02,13.56,14.79,1.49613,13.58,3.71,1796.93
87968,13.99,50.72,48.41,55.07,13.96,13.94,15.02,1.51046,13.96,4.41,1796.37
92362,5.01,49.39,49.58,53.03,14.15,14.76,14.78,1.50973,13.09,6.98,1796.22
92375,5.21,50.27,49.57,53.61,14.68,14.92,14.99,1.48587,13.26,5.48,1797.02
96078,-7.04,16.33,15.51,19.59,13.13,13.87,14.04,1.51045,13.05,8.32,1797.26
96079,-6.91,17.46,17.58,20.62,12.8,14.38,13.81,1.5103,13.48,8.92,1796.88
96080,-6.9,19.32,19.9,22.54,13.17,15.18,14.27,1.50981,13.28,7.98,1796.73
96081,-6.82,20.07,21.47,23.88,12.54,14.64,13.71,1.51019,13.85,9.3,1797.18
96082,-6.76,20.99,23.44,25.58,12.93,15.11,14.16,1.51009,13.09,7.91,1797.16
96085,-6.43,25,29.06,30,13.26,15.83,14.81,1.50358,13.07,7.13,1796.42
96086,-6.3,25.81,29.63,30.42,12.41,14.99,13.85,1.50992,13.22,8.46,1796.72
96087,-6.13,25.99,29.71,30.57,11.9,14.22,13.25,1.51021,13.51,9.17,1797.01
98420,3.9,29.21,29.32,30.93,12.43,13.79,13.03,1.51005,14.86,10.33,1797.47
98421,3.88,29.69,29.9,31.88,12.25,13.77,13.09,1.51027,15.25,10.68,1796.95
98422,3.77,30,30.79,33.01,12.21,13.66,13.31,1.51027,15.26,11.04,1796.81
98423,3.65,30.07,30.98,33.6,11.61,13.22,13.05,1.51031,14.86,11.63,1796.89
98424,3.58,30.57,32.15,34.45,11.98,13.74,13.42,1.51092,13.29,9.14,1796.89
98465,-4.23,4.06,2.75,6.21,9.17,9.9,10.36,0.83814,13.37,14.46,1796.44
98466,-3.94,6.75,5.81,9.22,10.71,11.96,11.93,1.51164,15.59,14.68,1795.28
98467,-4.1,9.5,9.13,11.89,11.24,12.77,12.42,1.51035,14.2,12.86,1796.04
98468,-4.06,12.43,12.67,15.57,12.8,14.37,13.82,1.51017,13.14,9.14,1796.47
99989,-13.87,20.98,20.53,24.01,12.71,12.87,12.98,1.50992,13.28,10.18,1797.41
99990,-13.59,20.66,20.12,23.86,12.05,12.41,12.64,1.50947,13.86,11.29,1796.88
99992,-13.43,21,21.84,25.16,12.86,14.03,13.72,1.51019,13.21,8.81,1797.29
99994,-13.22,20.83,22.56,25.13,11.88,13.42,13.09,1.51037,13.46,10,1796.84
103009,-13.78,21.74,23.03,26.7,13.4,14.58,14.76,1.51011,14.02,9.95,1797.09
103011,-13.32,23.02,25.43,28.31,13.95,15.67,15.16,1.50996,13.28,8.08,1797.23
103012,-13.08,23.69,26.56,29.19,15.04,16.56,16.02,1.51039,13.1,6.42,1796.92
103014,-12.82,24.51,28.27,30.09,13.32,15.01,14.79,1.51092,14.38,10.22,1797.43
103016,-12.38,26.12,29.77,31.13,14.28,15.92,15.16,1.51007,13.15,7.82,1797.51
103017,-12.15,25.69,29,30.55,12.71,14.36,13.79,1.51025,14.5,11.07,1797.02
103018,-11.92,24.36,27.92,30,11.69,13.34,12.88,1.51036,14.94,12.6,1796.96
103019,-11.69,23.58,26.86,29.17,10.97,12.84,12.09,1.51018,15.81,14.59,1797.23
104391,-13.03,21.37,18.86,21.21,16.13,14.24,14.83,1.50974,13.61,5.53,1797.43
106687,-9.23,27.97,27.79,30.41,15.87,16.19,16.62,1.51103,13.47,2.99,1797.21
106688,-8.99,29,27.98,30.98,15.5,15.31,15.92,1.51042,13.83,4.7,1797.15
106689,-8.79,29.81,28.96,32.64,16.13,15.79,16.78,1.50979,13.29,3.42,1797.19
107760,1.82,33.72,34.03,40.57,14.44,14.51,18.09,1.51022,13.88,5.65,1797.33
107761,1.99,35.72,36.37,43.17,15.68,16.43,18.65,1.51025,13.8,5.26,1796.53
107796,3.7,32.57,33.22,35.48,15.62,15.49,15.42,1.42762,14,2.59,1796.29
107798,3.71,36.97,37.12,38.68,17.16,17.49,16.56,1.4949,13.63,2.4,1796.42
108263,-8.79,34.83,32.93,36.03,16.93,16.58,16.67,1.51174,13.88,2.96,1797.61
109525,-2.39,0.72,-1.71,2.15,11.03,9.5,11.54,0.80082,13.9,10.39,1796.92
111325,2.28,34.04,36,35.18,14.31,15.1,14.84,1.51037,15.98,6.47,1797.44
111326,2.5,36.62,38.12,37.66,16.71,17.42,17.04,1.51024,14.39,4.44,1796.61
111327,2.44,39.67,41.54,41.13,18.42,18.64,17.97,1.50185,13.24,1.31,1796.89
111807,-4.17,27.46,24.95,29.26,16.35,16.3,16.6,1.4764,13.24,2.18,1796.42
111808,-3.92,29.4,26.89,30.75,15.61,15.59,15.68,1.49111,14.49,4.38,1796.97
111809,-3.75,29.92,27.06,31.03,13.54,13.69,13.79,1.26143,14.54,8.99,1757.55
112974,19.28,36.12,35.74,38.97,15.8,15.79,16.29,1.50628,14.1,1.7,1797.27
115082,8.06,40.33,40.83,43.78,14.01,14.76,15.66,1.4851,13.23,6.44,1795.33
115085,8.11,42.89,42.69,46.82,11.95,12.27,13.12,1.51034,14.25,11.05,1796.13
115086,7.78,42.99,42.69,46.97,13.09,13.07,14.07,1.51045,13.6,8.61,1796.18
115087,7.6,43.1,43.18,47.25,12.88,13.75,14.15,1.51006,14.09,7.3,1796.4
115089,6.7,41.43,43.08,46.73,11.01,13.2,12.45,1.51009,14.8,11.31,1796.5
115090,6.33,41.07,43.29,46.27,10.88,13.2,12.27,1.51042,14.56,11.34,1796.99
115097,4.6,38.14,40.31,43.67,9.84,10.78,11.18,1.47302,15.8,15.52,1794.96
115102,2.36,37.81,39.22,42.93,10.65,11.68,12.07,1.39612,14.43,12.89,1795.75
115103,2.03,38.58,40.49,43.72,11.95,13.23,13.14,1.35502,13.16,9.85,1795.33
115104,1.96,38.12,40.13,43.45,10.56,11.83,11.76,1.27723,14.8,12.66,1795.44
115107,1.83,37.31,40.1,42.87,10.87,13.19,12.4,1.27855,14.05,11.28,1796.34
117285,11.04,47.11,44,48.96,13.36,12.94,13.76,1.51025,13.48,8.8,1796.16
117286,10.59,46.97,44.44,49.22,12.9,13.79,14.13,1.51045,15.11,9.31,1796.97
117287,9.95,46.31,44.81,48.26,12.01,13.63,13.24,1.50985,15.65,11.35,1795.88
117288,9.02,46.08,46.14,48.8,12.98,14.94,14.37,1.51038,14.64,8.86,1795.76
117392,-1.95,9.27,6.95,11.33,10.49,10.46,11.53,1.06049,14.36,12.22,1796.49
117393,-1.91,12.4,11.13,15.7,13.15,13.79,14.35,1.51104,13.06,7.91,1795.99
117394,-1.87,15.66,14.88,19.21,13.12,14.09,14.21,1.50209,13.14,7.36,1796.12
117395,-1.71,18.17,18.01,21.6,13.03,14.07,14.23,1.50977,13.02,8.73,1795.73
117396,-1.52,20.06,20.05,24,12.75,13.92,14.01,1.5099,13.76,8.11,1797
117397,-1.29,21.49,22.44,26.1,12.59,13.97,13.78,1.51066,14.21,8.81,1795.85
117398,-1.14,23.17,23.84,27.39,12.22,13.92,13.62,1.51032,13.95,9.15,1796.35
117399,-0.95,24.48,26.1,29.7,12.92,14.39,14.51,1.50955,13.27,8.13,1795.85
117400,-0.71,26,27.05,30.66,11.49,13.44,13.12,1.51023,16,11.63,1796.67
117401,-0.58,26.94,29.35,32.41,12.74,14.74,14.58,1.51017,14.04,8.15,1796.55
