残差红,残差蓝,残差黑,异常率红,异常率黑,,绿色基准线,绿色基准线
0.077424325,0.06278324,0.048142155,1,0,,,
0.077283057,0.061934961,0.046586864,1,0,,,
0.076731957,0.062552709,0.048373461,1,0,,,
0.075485858,0.061373708,0.047261558,1,0,,,
0.07496677,0.059969823,0.044972876,1,0,,,
0.074404083,0.059755124,0.045106165,1,0,,,
0.072513662,0.059150025,0.045786389,1,0,,,
0.069545397,0.058105676,0.046665956,1,0,,,
0.069449344,0.058005735,0.046562126,1,0,,,
0.072028072,0.060615917,0.049203763,1,0,,,
0.072254413,0.060765205,0.049275997,1,0,,,
0.075747868,0.063128849,0.05050983,1,0,,,
0.077722609,0.065263704,0.052804799,1,0,,,
0.077625673,0.065470002,0.053314331,1,0,,,
0.076202982,0.066935566,0.057668149,1,0,,,
0.075771135,0.065847216,0.055923298,1,0,,,
0.07536097,0.065584304,0.055807637,1,0,,,
0.076586788,0.066458486,0.056330184,1,0,,,
0.076947962,0.06779592,0.058643877,1,0,,,
0.076980439,0.065789733,0.054599028,1,0,,,
0.078346184,0.066713405,0.055080626,1,0,,,
0.07691413,0.064030433,0.051146737,1,0,,,
0.074495521,0.062709426,0.050923332,1,0,,,
0.076054229,0.063948344,0.051842459,1,0,,,
0.077481658,0.064767466,0.052053275,1,0,,,
0.077480569,0.064943485,0.052406401,1,0,,,
0.078309367,0.065423886,0.052538405,1,0,,,
0.079303433,0.06582502,0.052346606,1,0,,,
0.078228164,0.064429411,0.050630659,1,0,,,
0.078109088,0.0645558,0.051002512,1,0,,,
0.07610084,0.062878028,0.049655215,1,0,,,
0.075474573,0.063966824,0.052459075,1,0,,,
0.075413568,0.063698997,0.051984427,1,0,,,
0.077455779,0.064401445,0.051347111,1,0,,,
0.075829146,0.06232547,0.048821795,1,0,,,
0.076806609,0.063115819,0.04942503,1,0,,,
0.074855038,0.061484118,0.048113199,1,0,,,
0.074690053,0.06143674,0.048183428,1,0,,,
0.074677403,0.061325819,0.047974235,1,0,,,
0.075419964,0.062557836,0.049695709,1,0,,,
0.07982431,0.064994827,0.050165344,1,0,,,
0.079872808,0.065125213,0.050377617,1,0,,,
0.080114019,0.064519398,0.048924777,1,0,,,
0.076766637,0.062492122,0.048217608,1,0,,,
0.076850579,0.063645904,0.050441229,1,0,,,
0.076020106,0.062983115,0.049946124,1,0,,,
0.075984401,0.063297432,0.050610462,1,0,,,
0.077395371,0.063704781,0.050014192,1,0,,,
0.078900388,0.065365871,0.051831353,1,0,,,
0.082098575,0.066859816,0.051621057,1,0,,,
0.078799466,0.065289954,0.051780441,1,0,,,
0.082100474,0.067158948,0.052217422,1,0,,,
0.082112335,0.067149424,0.052186513,1,0,,,
0.082669434,0.06845357,0.054237706,1,0,,,
0.084155876,0.069777486,0.055399096,1,0,,,
0.084239287,0.069589632,0.054939977,1,0,,,
0.08606061,0.071812437,0.057564263,1,0,,,
0.085253389,0.07140807,0.057562752,1,0,,,
0.086092469,0.071952059,0.057811649,1,0,,,
0.084329548,0.070900314,0.057471081,1,0,,,
0.085417849,0.072078346,0.058738843,1,0,,,
0.083543666,0.070358666,0.057173666,1,0,,,
0.082217971,0.071125755,0.060033538,1,0,,,
0.082058464,0.070346199,0.058633934,1,0,,,
0.081124684,0.069810748,0.058496812,1,0,,,
0.082370159,0.071715752,0.061061345,1,0,,,
0.080241007,0.06990394,0.059566872,1,0,,,
0.078957596,0.068936021,0.058914445,1,0,,,
0.079660049,0.06915705,0.058654051,1,0,,,
0.080009369,0.069395084,0.058780799,1,0,,,
0.082250067,0.070105109,0.05796015,1,0,,,
0.082383002,0.069843288,0.057303573,1,0,,,
0.083919712,0.071768735,0.059617759,1,0,,,
0.084308977,0.072973367,0.061637757,1,0,,,
0.084422937,0.072080851,0.059738765,1,0,,,
